URL,Product Name,Product Description,Average Rating,Total Reviews
https://www.influenster.com/reviews/pureology-hydrate-shampoo,Pureology Hydrate Shampoo,"Creamy shampoo that deeply hydrates any hair type in need of moisture. An ALLURE Best of Beauty Award Winner for a reason! - Deeply hydrates and softens dry hair - Protects hair color and enhances vibrancy - Highly concentrated formula allows for 75+ shampoos in a single bottle - Jojoba: Moisturizes hair. - Green Tea: Promotes a healthy-looking scalp. - Sage: Supports hair follicles. Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and comes in recyclable packaging. This hydrating and frizz-fighting formula includes a signature aromatherapy blend of lavender, bergamot, and patchouli and a patented Antifade Complex® to protect color vibrancy and ensure lasting color payoff.",5 / 5,6363
https://www.influenster.com/reviews/herbal-essences-hello-hydration-moisturizing-shampoo,Herbal Essences Hello Hydration Moisturizing Shampoo,"Herbal Essences Hello Hydration moisturizing shampoo’s coconut essences and moisture-rich system will leave your hair feeling pampered. The creamy formula will have you saying goodbye to dry hair and hello to hydration. Herbal Essences Hello Hydration Moisturizing Shampoo has no parabens, gluten or mineral oil Creamy notes of coconut essences Delivers a deep clean with rich hydration Deep moisture system leaves hair feeling soft and silky Gentle enough for daily use, color-safe and pH-balanced Ingredients: Water, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Zea Mays (Corn) Silk Extract, Orchis Mascula Flower Extract, Cocos Nucifera (Coconut) Fruit Extract, Sodium Citrate, Cocamide MEA, Sodium Xylenesulfonate, Fragrance, Dimethicone, Citric Acid, Sodium Benzoate, Polyquaternium 76, Sodium Chloride, Tetrasodium EDTA, Methylchloroisothiazolinone, Methylisothiazolinone, Blue 1",3 / 5,6286
https://www.influenster.com/reviews/pantene-smooth-sleek-shampoo,Pantene Smooth & Sleek Shampoo,Smooth & Sleek Shampoo,5 / 5,6266
https://www.influenster.com/reviews/tresemme-anti-breakage-strengthening-shampoo,TRESemmé Anti-Breakage Strengthening Shampoo,"Made with elatin and vitamin B12, TRESemmé® Anti-Breakage Strengthing Shampoo restores and revitalizes weak hair with the nourishment it needs to look healthy and feel strong.",5 / 5,5821
https://www.influenster.com/reviews/tresemme-keratin-smooth-shampoo-45,TRESemmé Keratin Smooth Shampoo,"¿Quieres tener un cabello suave, liso y fácil de peinar? TRESemmé Keratin Smooth Shampoo está fórmulado para dejar tu cabello hermosamente liso y con control contra el frizz. Fragancia: Seductor compuesto floral adornado con frutas jugosas y delicioso praliné.",3 / 5,5683
https://www.influenster.com/reviews/head-and-shoulders-green-apple-daily-use-anti-dandruff-paraben-free-shampoo-321-fl-oz,"Head and Shoulders Green Apple Daily-Use Anti-Dandruff Paraben Free Shampoo, 32.1 fl oz","- Head & Shoulders® Green Apple Shampoo is paraben free - America’s #1 dermatologist-recommended dandruff shampoo (*based on volume sales) - Clinically proven to protect against flakes, itch, oil and dryness with regular use (*flakes and itch associated with dandruff; washes away oil & flakes) Restorative mo Detailed information on Head & Shoulders ingredients",5 / 5,5387
https://www.influenster.com/reviews/herbal-essences-smooth-collection-shampoo,Herbal Essences Smooth Collection Shampoo,"The Herbal Essences smooth collection shampoo uses an infused blend of Vitamin E, rose hips and jojoba extracts to give you smooth, silky and shiny hair. Prepared from silicone-free natural extracts, this Herbal Essences shampoo is ideal for all hair types. Herbal Essences Smooth Collection Shampoo has 0% silicones or mineral oil Infused blend of rose hips, vitamin E and jojoba extracts Revives hair’s natural shine Formulated to deliver a smooth, beautiful look Gentle enough for daily use, color-safe and pH-balanced Ingredients :  Water/Eau, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Rosa Canina Fruit Extract, Tocopheryl Acetate, Simmondsia Chinensis (Jojoba) Seed Extract, Sodium Citrate, Sodium Xylenesulfonate, Fragrance/Parfum, Cocamide Mea, Sodium Chloride, Sodium Benzoate, Tetrasodium Edta, Peg-60 Almond Glycerides, Linoleamidopropyl Pg-dimonium Chloride Phosphate, Guar Hydroxypropyltrimonium Chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Red 33, Orange 4, Ext. Violet 2, Green 3.",5 / 5,5254
https://www.influenster.com/reviews/head-shoulders-smooth-silky-anti-dandruff-shampoo,Head & Shoulders Smooth & Silky Anti-Dandruff Shampoo,"Head & Shoulders Smooth & Silky Shampoo controls frizz for 24 hours Smooth & Silky Shampoo has the vibrant scent of fresh fruit and elegant florals Leaves hair intensely moisturized and up to 100% flake-free* (*visible flakes; with regular use) Smooth & Silky Shampoo is color safe** (**shampoo & conditioner system vs. non-conditioning shampoo) Clinically proven. Up to 100% dandruff protection.*** ( ***visible flakes, with regular use)",5 / 5,5163
https://www.influenster.com/reviews/suave-keratin-infusion-smoothing-shampoo,Suave Keratin Infusion Smoothing Shampoo,"Descubre nuestro champú suavizante Suave Professionals® Keratin Infusion Smoothing Shampoo con menor cantidad de sulfatos, que limpia y sella las cutículas del cabello.",4 / 5,5089
https://www.influenster.com/reviews/ogx-beauty-biotin-collagen-shampoo,Ogx Beauty Biotin & Collagen Shampoo,Help thicken and texturize any hair type with just one use. This powerful formula helps volumize even the skinniest strands into fuller and more abundant looking locks.,4 / 5,5060
https://www.influenster.com/reviews/hair-food-manuka-honey-apricot-shampoo,Hair Food Manuka Honey & Apricot Shampoo,"Hair Food Moisture Shampoo is inspired by pampering and relaxing ingredients to hydrate and condition the hair. Moisture Shampoo is designed for system use with the Moisture Conditioner. Use together for luxurious moisture and nourishment for healthy looking hair that shines Uniquely infused with honey and apricot fragrance Moisture Shampoo provides a luxurious, rich lather Silicone Free Paraben Free Mineral Oil Free",5 / 5,4926
https://www.influenster.com/reviews/tresemme-24-hour-volumizing-shampoo-for-fine-hair-32,Tresemme 24 Hour Volumizing Shampoo for Fine Hair,"Give your hair a volumizing boost! TRESemmé 24 Hour Volumizing Shampoo for fine hair helps maintain salon-quality, all day volume and bounce, without weight. This volumizing shampoo, infused with a vitamin blend and silk proteins, helps keep hair from falling flat thanks to our Pro Style Technology™ and Collagen and Peptide Complex™. Free from Parabens, Mineral Oils, and DMDM Hydantoin. TRESemmé is proud to be a hair care brand approved by PETA (People for the Ethical Treatment of Animals).",4 / 5,4857
https://www.influenster.com/reviews/garnier-smoothing-treat-1-minute-hair-mask-avocado-extract,Garnier Smoothing Treat 1 Minute Hair Mask + Avocado Extract,"For Frizzy Hair Smoothing Treat 1 Minute Hair Mask + Avocado Extract helps you get soft, smooth hair.",5 / 5,4756
https://www.influenster.com/reviews/shimmer-lights-purple-shampoo-for-blonde-silver-hair,Shimmer Lights Purple Shampoo for Blonde & Silver Hair,"Clairol SHIMMER LIGHTS Shampoo Blonde & Silver is an award-winning, protein-enriched color enhancing shampoo that tones down brassiness on blonde or gray hair. Key Benefits: Refreshes faded highlights, removes the dull yellow in gray hair and leaves hair shiny without residue For Balanced Brunettes: Use to tone down brassiness on multi-tonal color and/or highlighted hair for a balanced finish For Blondes: Use to maintain brightness on natural and/or highlighted hair For Shades of Gray: Maintains a cool-effect on color-treated, modern gray shades For Gray/Silver Enhancing: Blends, enhances and compliments natural grays or sliver hair This product contains an active violet dye. When overused, particularly on very porous, dry and/or damaged hair, there can be an over deposit of color. For a purple/smoky effect, you can wait 5-10 minutes before rinsing",5 / 5,4546
https://www.influenster.com/reviews/joico-k-pak-shampoo-77,Joico K-PAK Shampoo,"To say that K-PAK shampoo “cleanses your hair,” is like saying a Chanel coat “keeps you warm.” Sure, it gets the grime out… but it also turns your cleansing into the first step of a reconstruction process specifically designed for hair that’s been put through the ringer. Whether the culprit is overzealous thermal styling or harsh chemical services, our star shampoo actually restores hair’s original condition, measurably increasing strength, and giving it a cloak of protection to fend off future damage.   Perfect Choice For:  Fine hair (thanks to its low-molecular weight), as well as coarse, thick strands (thanks to a cream-based formula that’s rich and substantial).   Here’s How:  No rocket science here… just shampoo, rinse, and repeat, if you like. (We know you’ll like.) Follow with K-PAK Conditioner for a great hair treat!   The Inside Secret:  Think of our formula as a missile on a mission. This hair healer goes right to the damaged areas of the cuticle, instantly filling in those lost amino acids, and restoring elasticity, strength and shine with a powerful combination of our best antioxidant, Bio-Advanced Peptide Complex; plus Keratin Silicone, Vitamin E, and Aloe.",5 / 5,4509
https://www.influenster.com/reviews/loreal-paris-moisture-sulfate-free-shampoo-for-dry-hair,L'Oreal Paris Moisture Sulfate Free Shampoo for Dry Hair,Moisture Sulfate Free Shampoo for Dry Hair,5 / 5,4546
https://www.influenster.com/reviews/jamaican-black-castor-oil-strengthen-restore-shampoo-16oz,Jamaican Black Castor Oil Strengthen & Restore Shampoo 16oz,"Jamaican Black Castor SheaMoisture Oil Strengthen Restore Shampoo - 16 oz. Revive and nourish hair that has weakened with our sulfate-free SheaMoisture shampoo infused with nourishing Jamaican Black Castor Oil. As a clarifying shampoo, it removes buildup from hair products, creating a nice, rich lather that cleanses both hair and scalp without stripping much-needed moisture. In fact, this shampoo infuses hair with nourishing moisture from oils, organic Shea Butter and botanicals. SheaMoisture Strengthen and Restore is a great solution for those who regularly color, straighten, perm or heat style their hair. It's especially good for naturally wavy, curly and kinky hair styles that require constant moisture, even during the cleansing step. Jamaican Black Castor Oil also helps keep hair follicles strong, so hair can grow and shedding is reduced.",3 / 5,4390
https://www.influenster.com/reviews/loreal-paris-color-vibrancy-intensive-protecting-shampoo,L'Oreal Paris Color Vibrancy Intensive Protecting Shampoo,Color Vibrancy Intensive Protecting Shampoo,5 / 5,4335
https://www.influenster.com/reviews/coconut-hibiscus-curl-shine-shampoo-trial-travel-size,Coconut & Hibiscus Curl & Shine Shampoo - Trial & Travel Size,"SheaMoisture’s Coconut & Hibiscus Curl & Shine Shampoo Trial & Travel Size is a natural, gentle, sulfate-free cleanser that leaves your hair gorgeously shiny! Enriched with natural ingredients to hydrate and protect dry, damaged curls, this shampoo is a pick-me-up product which will take care of all your wavy, curly hair woes! This Curl & Shine Shampoo from SheaMoisture is a hydrating hair care treatment made from Coconut Oil which helps replenish lost oil and protects hair from further damage. Hibiscus Flower Extract is a natural emollient which soothes and smooths distressed waves and curls while Silk Protein works on making your hair gloriously silky. Neem Oil is effective in taming frizz and imparting a brilliant shine. Certified Organic Shea Butter used in this rich formulation makes your curls so soft and smooth that you will look forward to washing your hair! SheaMoisture’s Coconut & Hibiscus Curl & Shine Shampoo Trial & Travel Size is the perfect on-the-go size to ensure you have beautiful, shining curls all the time!",5 / 5,4303
https://www.influenster.com/reviews/head-shoulders-itchy-scalp-care-anti-dandruff-shampoo,Head & Shoulders Itchy Scalp Care Anti-Dandruff Shampoo,"Head & Shoulders® Itchy Scalp Care Shampoo is paraben free America’s #1 dermatologist-recommended dandruff shampoo (*based on volume sales) Relieves multiple symptoms including flakes, itch, oil and dryness with regular use (*flakes and itch associated with dandruff; washes away oil & flakes) Clinically proven. Up to 100% dandruff protection.** ( **visible flakes, with regular use)",5 / 5,4198
https://www.influenster.com/reviews/tea-tree-special-shampoo,Tea Tree Special Shampoo,"Ordinary shampoos need not apply! Get a head start every morning and experience the refreshing tingle of Tea Tree Special Shampoo®. Our #1 best-selling shampoo contains special ingredients and tea tree oil to help wash away impurities leaving hair fresh, c",5 / 5,4193
https://www.influenster.com/reviews/live-clean-apple-cider-detox-shampoo-12-oz-bottle,"Live Clean Apple Cider Detox Shampoo, 12 oz. Bottle","Live Clean Apple Cider Detox Shampoo uses a vegan formula to gently cleanse and purify your hair. Made with apple cider vinegar, it's the perfect weekly deep cleansing shampoo to rid your hair of residue build-up caused by styling products. It's also the ideal daily shampoo and clarifier for oily hair. This shampoo is 98% plant-based, vegan, not tested on animals and free from parabens, sulfates and harmful chemicals. Includes one 12 oz. bottle of Live Clean Apple Cider Detox Shampoo. Founded in 2007, the Live Clean brand was created with a simple vision: to create high-performance skin and hair care products that celebrated beauty while honoring the earth. We believe that living clean isn't just about what we eat, but it's also about the products and ingredients we put on our bodies. Live Clean products harness the beautifying power in plant-based ingredients for gentle and effective products that are safe for you and the environment. One 12 oz. bottle of Live Clean Apple Cider Detox Shampoo; Made with apple cider vinegar to gently cleanse and clarify hair; Vegan and 98% plant-based; Free of parabens, sulfates and harmful chemicals; Cruelty-free and not tested on animals",5 / 5,4172
https://www.influenster.com/reviews/herbal-essences-biorenew-refresh-blue-ginger-micellar-water-shampoo-135-fl-oz,Herbal Essences Bio:Renew Refresh Blue Ginger & Micellar Water Shampoo - 13.5 fl oz,"Refresh flat, limp hair with Herbal Essences Blue Ginger & Micellar Water Shampoo. Our real botanicals are endorsed by Royal Botanic Gardens, Kew, a leading expert on plants. This silicone-free shampoo, with real botanicals, helps volumize and lift hair from root to tip. Crafted with our signature blend of real botanicals, Blue Ginger & Micellar Water Shampoo helps refresh for radiant, beautiful hair. Color-safe and pH-balanced, this shampoo cleanses while infusing notes of ginger, floral bouquets and clean musk into your hairâ€”leaving it full of volume. Lather, rinse and repeat with ease knowing your shampoo is silicone-free, paraben-free and colorant-free, and made with at least 90% natural-origin ingredients.* *Purified water and natural-source ingredient materials with limited processing. VOLUMIZE HAIR: Herbal Essences Blue Ginger & Micellar Water Shampoo cleanses and refreshes for volumized hair REAL BOTANICALS ENDORSED BY KEW: The real botanicals in this formula have been endorsed by the Royal Botanic Gardens, Kew THE SCENT EXPERIENCE: Multilayered scents of ginger, floral bouquets and clean musk OUR NO, NO, NO LIST: Our Blue Ginger & Micellar Water Shampoo is silicone-free, paraben-free and dye-free COLOR-SAFE & pH-BALANCED: Our color-safe and pH-balanced shampoos are crafted to be safe on color-treated hair",5 / 5,4156
https://www.influenster.com/reviews/tresemme-revitalize-color-shampoo-for-color-treated-hair-14,Tresemme Revitalize Color Shampoo for Color Treated Hair,"Help your hair color last and maintain its vibrancy! Infused with sunflower seed oil and Hibiscus Essence™, TRESemmé Revitalize Color Shampoo for color-treated hair gently cleanses and protects each dyed strand, leaving your colored hair with lasting vibrancy. Free from Parabens, Mineral Oils, and DMDM Hydantoin.TRESemmé is proud to be a hair care brand approved by PETA (People for the Ethical Treatment of Animals).",5 / 5,4143
https://www.influenster.com/reviews/suave-shampooconditioner-rosemary-mint-twin-pack-252oz,Suave Shampoo/Conditioner Rosemary Mint Twin Pack 25.2oz,Find hair care products at Target.com! Moisturize and restore your hair with this suave rosemary mint shampoo and conditioner set. It is formulated for all hair types and is gentle enough to use every day.,5 / 5,4004
https://www.influenster.com/reviews/garnier-fructis-strength-repair-shampoo,Garnier Fructis Strength & Repair Shampoo,"Garnier Fructis Color Shield offers complete defense for colored hair. Boosts vibrancy, shine, and softness and preserves fresh color hair for up to 8 weeks! Defends against wash-out, fade-out & dry-out so fresh vibrant color lasts longer. Treats hair with camellia oil, açai berry antioxidant and UV filters, our Complete Defense system helps restore hair's power to keep color looking & feeling fresher for longer.",5 / 5,4027
https://www.influenster.com/reviews/joico-color-balance-purple-shampoo-59,Joico Color Balance Purple Shampoo,"Stay true to your color with Joico's color balance purple shampoo for long lasting, vibrant color while protecting your hair's natural health. Perfect choice for blonde's, this unique color correcting formula preserves the cool tone in your hair and keeps brassiness at bay. Containing the most beneficial ingredients and striving to keep constantly up-to-date with technology, Joico upholds its reputation of being the leader in beauty innovation. Joico gives you the power to transform hair and transform people.",3 / 5,3933
https://www.influenster.com/reviews/matrix-brass-off-blue-shampoo-25,Matrix Brass Off Blue Shampoo,Total Results Brass Off Shampoo neutralizes brassy tones while refreshing your hair with cool tones. Best for brunettes that lighten their hair.,5 / 5,3848
https://www.influenster.com/reviews/loreal-paris-brass-toning-purple-sulfate-free-shampoo,L'Oreal Paris Brass Toning Purple Sulfate Free Shampoo,Brass Toning Purple Sulfate Free Shampoo,4 / 5,3801
https://www.influenster.com/reviews/loreal-paris-extraordinary-clay-shampoo,L'Oreal Paris Extraordinary Clay Shampoo,Extraordinary Clay Shampoo,4 / 5,3772
https://www.influenster.com/reviews/no-4-bond-maintenancetm-shampoo,No. 4 Bond Maintenance™ Shampoo,"Which hair type is it good for?✔ Straight✔ Wavy✔ Curly✔ Coiled✔ Tightly CoiledWhat it is:A highly moisturizing, reparative shampoo that leaves hair easy to manage, shiny, and healthier with each use. Key benefits:- Repairs and maintains bonds within the hair - Eliminates frizz and flyaways- Reduces breakageIf you want to know more… This shampoo repairs and protects hair from everyday stresses—including damaged hair, split ends, and frizz—by re-linking broken bonds. No.4 is color-safe and proven to reduce breakage and strengthen all types of hair. This product is an Allure Best of Beauty award winner. Clean at SephoraClean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.",5 / 5,3710
https://www.influenster.com/reviews/head-shoulders-dry-scalp-care-with-almond-oil-anti-dandruff-2-in-1,Head & Shoulders Dry Scalp Care with Almond Oil Anti-Dandruff 2-in-1,"Head & Shoulders® Dry Scalp Care 2-In-1 is paraben free Relieves symptoms including flakes, itch, oil and dryness with regular use (*flake and itch associated with dandruff; washes away oil & flakes) Restores the scalp’s natural moisture balance Clinically proven. Up to 100% dandruff protection.** ( **visible flakes, with regular use)",5 / 5,3611
https://www.influenster.com/reviews/garnier-sleek-shine-moroccan-sleek-oil-treatment,Garnier Sleek & Shine Moroccan Sleek Oil Treatment,"Hair oil for instant sleek* *With shampoo, conditioner and leave-in treatment",4 / 5,3562
https://www.influenster.com/reviews/pantene-pro-v-classic-clean-shampoo-201-fl-oz,Pantene Pro-V Classic Clean Shampoo - 20.1 fl oz,"Pantene Pro-V Classic Clean Shampoo gives hair a gentle clean and healthy shine from the very first wash. Suitable for all hair types, Pantene Pro-V Classic Clean Shampoo fuels hair with active Pro-V nutrients, tested by the Swiss Vitamin Institute, to strengthen strands, leaving it beautifully soft and healthy-looking. Pantene Pro-V Classic Clean Shampoo provides balanced nourishment for normal to mixed hair to bring out hair’s natural radiance and shine, without the weight. Free from silicones, mineral oils and colourants, it’ll leave hair free-flowing and easy to manage. For best results, follow up this gentle cleanse with Pantene Pro-V Classic Clean Conditioner and treatments.",5 / 5,3512
https://www.influenster.com/reviews/jamaican-black-castor-oil-bentonite-clay-shampoo-bar,Jamaican Black Castor Oil Bentonite Clay Shampoo Bar,"A completely new experience for hair! This mineral-rich shampoo bar absorbs excess oils and lifts away impurities while providing a gentle cleansing, rich lather. Unique curved edges make direct application to root and scalp easy. Jamaican Black Castor Oil blends with Rhassoul clay to develop this nourishing, natural shampoo bar that provides hydration, softening damaged curls and coils. Leaves hair looking and feeling healthy. Format is ideal for travel.",5 / 5,3303
https://www.influenster.com/reviews/suave-keratin-infusion-dry-shampoo,Suave Keratin Infusion Dry Shampoo,"El refrescante champú seco Suave Professionals® contiene queratina y absorbe los aceites, para limpiar tu cabello y dejarlo fresco, suave y dócil entre lavados.",2 / 5,3228
https://www.influenster.com/reviews/suave-naturals-tropical-coconut-shampoo,Suave® Naturals Tropical Coconut Shampoo,Suave Naturals Tropical Coconut Shampoo: Say yes to beautiful without paying the price With coconut extract and vitamin E Family size,3 / 5,3225
https://www.influenster.com/reviews/pureology-strength-cure-shampoo-55,Pureology Strength Cure Shampoo,"Gentle, concentrated and sulfate free, Strength Cure Shampoo for damaged hair helps fortify micro-scarred color-treated hair and provides a velvety-soft finish, while the soothing blend of lavender, honey, peach and vanilla consume the senses.   How To Use: Apply a quarter-sized amount to wet hair and lather. Rinse. Repeat if necessary. For best results, follow with Strength Cure Condition.   Ingredients: AQUA/WATER/EAU, SODIUM COCOYL ISETHIONATE, SODIUM LAURYL SULFOACETATE, DISODIUM LAURETH SULFOSUCCINATE, SODIUM LAUROYL SARCOSINATE, COCO-BETAINE, GLYCOL DISTEARATE, GLYCERETH-26, DECYL GLUCOSIDE, PARFUM/FRAGRANCE, SODIUM ISETHIONATE, COCONUT ACID, PPG-5-CETETH-20, DIVINYLDIMETHICONE/DIMETHICONE COPOLYMER, POLYQUATERNIUM-7, AMODIMETHICONE, CARBOMER, ACRYLATES COPOLYMER, POLYQUATERNIUM-10, PEG-55 PROPYLENE GLYCOL OLEATE, PROPYLENE GLYCOL, C11-15 PARETH-7, BENZOIC ACID, LAURETH-9, GLYCERIN, TOCOPHEROL, OLEA EUROPAEA OIL/OLIVE FRUIT OIL, CAMELINA SATIVA OIL/CAMELINA SATIVA SEED OIL, TRIDECETH-12, HELIANTHUS ANNUUS SEED EXTRACT/SUNFLOWER SEED EXTRACT, SODIUM BENZOATE, C12-13 PARETH-23, BENZYL ALCOHOL, COUMARIN, GERANIOL, C12-13 PARETH-3, HYDROLYZED VEGETABLE PROTEIN PG-PROPYL SILANETRIOL, ARGININE, 2-OLEAMIDO-1,3-OCTADECANEDIOL, POLY(LINSEED OIL), BENZOPHENONE-4, CI 14700/RED 4, METHYLCHLOROISOTHIAZOLINONE, HAEMATOCOCCUS PLUVIALIS/ HAEMATOCOCCUS PLUVIALIS EXTRACT, METHYLISOTHIAZOLINONE, CAPRYLIC/CAPRIC TRIGLYCERIDE, MELANIN, CI 15510/ORANGE 4, Astaxanthin, ROSMARINUS OFFICINALIS LEAF EXTRACT/ROSEMARY LEAF EXTRACT, SODIUM HYDROXIDE, CITRIC ACID",5 / 5,3158
